rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_market_trend_x_mom13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,2843,0.26582515194015893,0.28209637706647905,0.26339410939691443,0.01870226766956462,0.007660184148438996,0.007314297407118801,0.0003458867413201946
rule_int_market_trend_x_mom13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,2319,0.25385878489326763,0.24536438119879259,0.2571428571428571,-0.011778475944064531,0.0098889209035088,0.013835204278374246,-0.003946283374865446
rule_int_market_trend_x_mom13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,1935,0.2062899786780384,0.25788113695090437,0.2571428571428571,0.0007382798080472486,0.01833807824340086,0.01297451572413913,0.00536356251926173
rule_int_breadth_x_mom13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,3317,0.30994206690338255,0.28097678625263794,0.2632218276957578,0.01775495855688014,0.004260732306847714,0.003483188124790297,0.0007775441820574167
rule_int_breadth_x_mom13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,2748,0.30082101806239736,0.274745269286754,0.2571428571428571,0.017602412143896906,0.006156231840408837,0.006819623226853916,-0.0006633913864450792
rule_int_breadth_x_mom13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,2495,0.2620798319327731,0.2841683366733467,0.2571428571428571,0.02702547953048956,0.004741033049829357,0.006374794816463079,-0.0016337617666337218
rule_int_breadth_x_mom13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,3317,0.30994206690338255,0.274344287006331,0.2632218276957578,0.011122459310573207,0.008192275107915502,0.007222038265470979,0.0009702368424445232
rule_int_breadth_x_mom13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,2748,0.30082101806239736,0.25946142649199416,0.2571428571428571,0.002318569349137045,0.010993162602824609,0.013835204278374246,-0.002842041675549637
rule_int_breadth_x_mom13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,2460,0.2622601279317697,0.2914634146341463,0.2571428571428571,0.034320557491289205,0.012094643865303279,0.01297451572413913,-0.0008798718588358505
rule_int_breadth_x_mom13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,3317,0.3101449275362319,0.2848959903527284,0.26339410939691443,0.021501880955813957,0.004260732306847714,0.0035440503000185226,0.000716682006829191
rule_int_breadth_x_mom13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,2748,0.30082101806239736,0.27219796215429404,0.2571428571428571,0.01505510501143692,0.006156231840408837,0.006819623226853916,-0.0006633913864450792
rule_int_breadth_x_mom13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,2495,0.2620798319327731,0.25410821643286574,0.2571428571428571,-0.0030346407099913764,0.004741033049829357,0.006374794816463079,-0.0016337617666337218
rule_int_breadth_x_mom13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,3317,0.3101449275362319,0.28097678625263794,0.26339410939691443,0.01758267685572351,0.008192275107915502,0.007314297407118801,0.0008779777007967005
rule_int_breadth_x_mom13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,2748,0.30082101806239736,0.24272197962154293,0.2571428571428571,-0.014420877521314185,0.010993162602824609,0.013835204278374246,-0.002842041675549637
rule_int_breadth_x_mom13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,2460,0.2622601279317697,0.2483739837398374,0.2571428571428571,-0.008768873403019711,0.012094643865303279,0.01297451572413913,-0.0008798718588358505
rule_int_real_asset_strength_x_stress__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,358,0.03345169127265932,0.23184357541899442,0.2632218276957578,-0.031378252276763385,-0.0060591850837774805,0.003483188124790297,-0.009542373208567777
rule_int_real_asset_strength_x_stress__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,687,0.07520525451559934,0.21397379912663755,0.2571428571428571,-0.043169058016219564,0.008530860354000306,0.006819623226853916,0.0017112371271463898
rule_int_real_asset_strength_x_stress__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,479,0.05031512605042017,0.2150313152400835,0.2571428571428571,-0.04211154190277361,-0.008709803175447327,0.006374794816463079,-0.015084597991910406
rule_int_real_asset_strength_x_stress__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,358,0.03345169127265932,0.19553072625698323,0.2632218276957578,-0.06769110143877458,-0.004683466535335122,0.007222038265470979,-0.011905504800806101
rule_int_real_asset_strength_x_stress__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,687,0.07520525451559934,0.1848617176128093,0.2571428571428571,-0.0722811395300478,0.019978025073357508,0.013835204278374246,0.006142820794983262
rule_int_real_asset_strength_x_stress__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,479,0.051066098081023456,0.20876826722338204,0.2571428571428571,-0.048374589919475075,-0.010775067891686675,0.01297451572413913,-0.023749583615825805
